Title|Company|Location|Link|job_time
Data Analyst|ICE|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-ice-3296376587?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=liJc%2Ba7ZOHfGtj%2FNlWtVwQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-15
Data Analyst|U.S. Bank|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-u-s-bank-3333221222?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=3vpPxUC5HzxnQvOjhLqHrA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-10-27
Data Insights Analyst|CarTrawler|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-insights-analyst-at-cartrawler-3343577006?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=I5N5d87ty9XRD7jpCDzGuA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-09
Data Analyst - Hybrid|Optum|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-hybrid-at-optum-3354853487?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=vpOTdcnJi3CVGDNyGRQFMg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-10
Finance Data Analyst|Azon Recruitment Group|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/finance-data-analyst-at-azon-recruitment-group-3370332236?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=8FYcBUmBOeo%2BxU%2B4N51irA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:09.527037
Senior Data Analyst|Sigmar Recruitment|Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-sigmar-recruitment-3343956719?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=1vC8YevQoMYxisXspuHzVA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-03
Data Analyst|DB Schenker|Ballycoolin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-db-schenker-3355568887?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=FNTeCRNhJUWuisT3kTNkHA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-11
Data Analyst|permanent tsb|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-permanent-tsb-3354940031?refId=%2FG5Ho9GedYzaVqPVmrmMNQ%3D%3D&trackingId=gzTmwzL17kGz9IfBPLKyDQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card|2022-11-15
Senior Data Analyst|Sigmar Recruitment|Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-sigmar-recruitment-3343956719?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=uJl9oHnRgiA3cCRPDcDWQQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-03
Data Analyst|DB Schenker|Ballycoolin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-db-schenker-3355568887?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=vFjCUY0GdI%2BSTR14MMrOMQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-11
Data Analyst|Milestone Technologies, Inc.|Milestone, County Tipperary, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-milestone-technologies-inc-3300478515?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=KY%2BI0ViPmN%2FQ%2BoUqFZ9aKg%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-18
Data Analyst|permanent tsb|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-permanent-tsb-3354940031?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=st2M8DXroLHCyWUQiI3Q%2FA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-15
Senior BI Analyst / Data Analyst|Cognizant|County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-bi-analyst-data-analyst-at-cognizant-3331462425?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=33Zu5DqYbPkr8Gd0ANY4Ow%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-10-31
Senior Data Analyst|Senitor Associates|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-senitor-associates-3362715783?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=c5ve7%2BnGXBfDETzUx0C7YQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-16
Data Analyst|Reperio Human Capital|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-reperio-human-capital-3367435969?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=JUfWxCDKDz4cH1nWrRHaqA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-19
Senior Data Analyst|Archer - The IT Recruitment Consultancy|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-archer-the-it-recruitment-consultancy-3369415084?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=AuscIOaSHy7m11%2FTIRSj6g%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-21
Senior Data Analyst|Trilogy International|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-trilogy-international-3352911227?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=dvDWpzlKi0ADYPmPLIHvng%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-14
Senior Data Analyst|In Technology Group|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-in-technology-group-3355946796?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=tq2UAJ0I3JUv9qRb%2BgwZdA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-11
Senior Data Analyst|Idiro Analytics|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-idiro-analytics-3369438498?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=0fMZzDRmwvdrxpgxmfVYqw%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-21
Data Analyst (18 months fixed-term)|Viatris|Northern Cross, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-18-months-fixed-term-at-viatris-3358234957?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=ncmS7xJDDHRB4HPPOGXGTQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-15
Senior Data Analyst|Monte Carlo|Greater Dublin|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-monte-carlo-3286319153?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=Mbm%2FO2YZQPUm6vnkJxgtdw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:10.649318
Data Analyst|Reperio Human Capital|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-reperio-human-capital-3331651623?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=QDOyH68TiWPyUwGUe9%2Ftsg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-10-26
Power BI Data Analyst|Brightwater|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/power-bi-data-analyst-at-brightwater-3350211802?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=mryG0ukl6Od9tIYsK4%2FqMQ%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-07
Data Analyst|Reperio Human Capital|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-reperio-human-capital-3330307999?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=OTqx31daoUWcsxUWdKC8Lw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-10-26
Data Analyst - Dublin 2|Ergo|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-dublin-2-at-ergo-3345722863?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=IlI0Awz3pf8g7aZg9PhCmw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-04
Data Analyst|Allen Recruitment Consulting|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-allen-recruitment-consulting-3365153971?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=y9cpPo4Ph3jzsRaWgDeOIw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-21
Data Analyst|Reperio Human Capital|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-reperio-human-capital-3340161351?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=jFrn%2FPqh31zCW3qUHibIiw%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-02
Data Analyst|Reperio Human Capital|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-reperio-human-capital-3369103480?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=uaLL2ULzSyXHdVd9kFRUkQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-10-27
Data Analyst|Reperio Human Capital|Limerick, County Limerick, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-reperio-human-capital-3330311107?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=9lcfTTy5GH4Iyu2qu5HMtQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-10-26
Senior Insights Analyst|Ryanair - Europe's Favourite Airline|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-insights-analyst-at-ryanair-europe-s-favourite-airline-3356268962?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=yBUj9FAp1FFmVnqjeg1%2FsQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-11
Healthcare Data Analyst, Hospital Evaluation|Comagine Health|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/healthcare-data-analyst-hospital-evaluation-at-comagine-health-3366704544?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=F1K4QHZKPQjkOCCjXgMHyw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:10.651319
Senior Data Analyst (Strategic Planning)|eBay|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-strategic-planning-at-ebay-3334679999?refId=tirO7VnxAo2iUGTBbP7zvg%3D%3D&trackingId=8fCKflg6EA%2Fm5t5G5AWJLg%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card|2022-11-21
Data Analyst / Statistician (Hybrid Role)|Ergo|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-statistician-hybrid-role-at-ergo-3334835918?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=3cLug8G6B1dTD8ylX8pGdw%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-10-28
Data Analyst - Behavioural Economics Unit|Morgan McKinley|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-behavioural-economics-unit-at-morgan-mckinley-3367757345?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=02gjkNSRqxF9YF4q8QzfNg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-10-25
Senior Data Analyst|Senitor Associates|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-senitor-associates-3362715783?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=ZNeKiNGzGdsM6urm5pt4vQ%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-16
Senior Data Analyst, Business Intelligence (Mobile) - Fixed Term|2K|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-business-intelligence-mobile-fixed-term-at-2k-3191683545?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=nDw8d6E3maUG%2F9Rsa3teIg%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-12
AIB Finance Data Analyst Graduate Programme 2023.|AIB|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/aib-finance-data-analyst-graduate-programme-2023-at-aib-3369982088?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=HdF5eRuzo2SF7qdMjA%2F9Vw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:11.742662
Statistician /Data Analyst Cork and Dublin|CSO (Central Statistics Office Ireland)|Cork, County Cork, Ireland|https://ie.linkedin.com/jobs/view/statistician-data-analyst-cork-and-dublin-at-cso-central-statistics-office-ireland-3332825009?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=%2FWQArhCVkOJTLkYrRpeEWw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-10-28
HR Data Analyst|PwC Ireland|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/hr-data-analyst-at-pwc-ireland-3353208105?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=xW9vdYztujsRiqSrUWzNjw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-09
Data Factory Data Analyst|Bank of Ireland|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-factory-data-analyst-at-bank-of-ireland-3365647548?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=V1dSYMzbeCAdocMwie9g%2BA%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-21
Healthcare Data Analyst, Hospital Evaluation|Comagine Health|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/healthcare-data-analyst-hospital-evaluation-at-comagine-health-3366704544?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=vhFyRPHRhEINw7RbqCfshA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:11.746664
Data Analyst|Reperio Human Capital|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-reperio-human-capital-3350121878?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=yPq9JDBPrD02EI%2BZ%2Fs7YnQ%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-07
Business and Data Analyst|permanent tsb|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/business-and-data-analyst-at-permanent-tsb-3350711273?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=nxI2q7FaR1m3EY6l%2FhRTOA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-10
Data Business Analyst|EML|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-business-analyst-at-eml-3356341096?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=TdTxTKn8UUYFmC2KJq8Wtg%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-11
Senior Data Analyst|Rue Gilt Groupe|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-rue-gilt-groupe-3341463205?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=WF5cJPV6p7ji18aR1JpC3g%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:11.747664
Data Analyst|Cpl|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-cpl-3353564527?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=%2FamO44D7UJKtBZF5g4rgIg%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-11
Data Reporting & Visualization Analyst - Quality|Logitech|Cork, County Cork, Ireland|https://ie.linkedin.com/jobs/view/data-reporting-visualization-analyst-quality-at-logitech-3322576156?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=W9AdwG1XPkeusEwwgYIAug%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-10
Data Protection Analyst|ESW|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-protection-analyst-at-esw-3365665718?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=69%2Fbchuwv9pw%2Bac5htPYhA%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:11.747664
Ecommerce Anti-Fraud Data Analyst|TikTok|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/ecommerce-anti-fraud-data-analyst-at-tiktok-3271938590?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=QotgcYj8C6y3OlO7wN1Mag%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-21
Business Intelligence Analyst|Connexus Recruit|Greater Dublin|https://ie.linkedin.com/jobs/view/business-intelligence-analyst-at-connexus-recruit-3345700077?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=HbX4dzox9A9oaCEqnpcgGg%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-04
Supply Chain Data Analyst|Amgen|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/supply-chain-data-analyst-at-amgen-3307773332?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=VZ4bG%2Bt47xQi6A0dk40rOQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-01
"Data & AI graduate programme| Ireland | October 2023"|Avanade|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-ai-graduate-programme-ireland-october-2023-at-avanade-3329699073?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=NWLtSiS%2FJoTxGm9AAvFJfg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-20
Data Analytics Specialist - Alteryx|PE Global|Ireland|https://ie.linkedin.com/jobs/view/data-analytics-specialist-alteryx-at-pe-global-3370367821?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=XaIvDOAu4vAOxj4agd1Mvw%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:11.748665
Senior Data Analyst|Bank of Ireland|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/senior-data-analyst-at-bank-of-ireland-3357592527?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=c%2F5I2ND6d%2Fu4RH6L%2F%2FRCZg%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-17
Market Data Analyst|The Citco Group Limited|Cork, County Cork, Ireland|https://ie.linkedin.com/jobs/view/market-data-analyst-at-the-citco-group-limited-3352837641?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=nXn4K%2BktNtqqMLx4qvKO7A%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-09
Data Analyst|Reperio Human Capital|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/data-analyst-at-reperio-human-capital-3369103480?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=jiK2qix2pqAG6aiJNmrFFw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-10-27
NRS13095 Grade VII, Data Analyst|Health Service Executive|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/nrs13095-grade-vii-data-analyst-at-health-service-executive-3369442882?refId=2fzFASu9w0o5rrcfwsQ6WQ%3D%3D&trackingId=9sA9Wl5phouCAigW6F1QOQ%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card|2022-11-22 15:14:11.749665
Analyst, Data Defense Operations|TikTok|Dublin City, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/analyst-data-defense-operations-at-tiktok-3320326014?refId=QJKASCe8vdHtFr67Mau5Zg%3D%3D&trackingId=prhbDph3DYzXx8ta4HOCYg%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card|2022-11-21
Business Data Analyst|Reperio Human Capital|Dublin, County Dublin, Ireland|https://ie.linkedin.com/jobs/view/business-data-analyst-at-reperio-human-capital-3353206529?refId=QJKASCe8vdHtFr67Mau5Zg%3D%3D&trackingId=S6bzgE2yLF1JpsBM9vam%2FQ%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card|2022-11-09
